"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","CONVERSION RATE","PL","AMOUNT","BALANCE"
"1","2026-06-07 23:38:00 EDT","CREATE","","","","","","","","","","","","","","",""
"2","2026-06-07 23:38:00 EDT","CLIENT_CONFIGURE","","","","","","","","","","","","","","",""
"3","2026-06-07 23:38:02 EDT","TRANSFER_FUNDS","","","","","","","","","","","","","","100000.00","100000.00"
"4","2026-06-08 00:00:01 EDT","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","100000.00","Sell","","1.35339","1.33593","","","","","","",""
"5","2026-06-08 00:00:01 EDT","ORDER_CANCEL","TAKE_PROFIT_ON_FILL_LOSS","","","","","","","","","","","","","",""
"6","2026-06-08 00:00:01 EDT","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","100000.00","Buy","","1.33817","1.34704","","","","","","",""
"7","2026-06-08 00:00:01 EDT","ORDER_CANCEL","STOP_LOSS_ON_FILL_LOSS","","","","","","","","","","","","","",""
"8","2026-06-08 00:00:01 EDT","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","100000.00","Buy","","1.33675","1.35963","","","","","","",""
"9","2026-06-08 00:00:01 EDT","ORDER_CANCEL","STOP_LOSS_ON_FILL_LOSS","","","","","","","","","","","","","",""
"10","2026-06-08 00:00:01 EDT","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","100000.00","Sell","","1.34632","1.33084","","","","","","",""
"11","2026-06-08 00:00:01 EDT","ORDER_FILL","MARKET_ORDER","GBP/USD","1.33402","100000.00","Sell","13.2486","","","","0.00000","0.0000","","0.00000","","100000.00"
"12","2026-06-08 00:00:01 EDT","TAKE_PROFIT_ORDER","ON_FILL","","1.33084","","","","","","","","","","","",""
"13","2026-06-08 00:00:01 EDT","STOP_LOSS_ORDER","ON_FILL","","1.34632","","","","","","","","","","","",""
"14","2026-06-08 00:00:02 EDT","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","100000.00","Sell","","1.34806","1.32496","","","","","","",""
"15","2026-06-08 00:00:02 EDT","ORDER_FILL","MARKET_ORDER","GBP/USD","1.33404","100000.00","Sell","11.8540","","","","0.00000","0.0000","","0.00000","","100000.00"
"16","2026-06-08 00:00:02 EDT","TAKE_PROFIT_ORDER","ON_FILL","","1.32496","","","","","","","","","","","",""
"17","2026-06-08 00:00:02 EDT","STOP_LOSS_ORDER","ON_FILL","","1.34806","","","","","","","","","","","",""
"18","2026-06-08 00:07:46 EDT","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","100000.00","Buy","","","","","","","","","",""
"19","2026-06-08 00:07:46 EDT","ORDER_FILL","MARKET_ORDER","GBP/USD","1.33418","100000.00","Buy","14.6435","","","","0.00000","0.0000","","0.00000","","100000.00"
"20","2026-06-08 00:07:46 EDT","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","100000.00","Buy","","","","","","","","","",""
"21","2026-06-08 00:07:46 EDT","ORDER_FILL","MARKET_ORDER","GBP/USD","1.33418","100000.00","Buy","14.6435","","","","0.00000","0.0000","","0.00000","","100000.00"
"22","2026-06-08 00:07:46 EDT","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","100000.00","Sell","","","","","","","","","",""
"23","2026-06-08 00:07:46 EDT","ORDER_FILL","MARKET_ORDER","GBP/USD","1.33397","100000.00","Sell","14.6435","","","","0.00000","0.0000","","0.00000","","100000.00"
"24","2026-06-08 00:07:47 EDT","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","100000.00","Sell","","","","","","","","","",""
"25","2026-06-08 00:07:47 EDT","ORDER_FILL","MARKET_ORDER","GBP/USD","1.33397","100000.00","Sell","14.6435","","","","0.00000","0.0000","","0.00000","","100000.00"
"26","2026-06-08 00:07:47 EDT","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","100000.00","Buy","","","","","","","","","",""
"27","2026-06-08 00:07:47 EDT","ORDER_FILL","MARKET_ORDER","GBP/USD","1.33418","100000.00","Buy","14.6435","","","","0.00000","0.0000","","0.00000","","100000.00"
"28","2026-06-08 00:07:47 EDT","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","100000.00","Buy","","","","","","","","","",""
"29","2026-06-08 00:07:47 EDT","ORDER_FILL","MARKET_ORDER","GBP/USD","1.33418","100000.00","Buy","14.6435","","","","0.00000","0.0000","","0.00000","","100000.00"
"30","2026-06-08 00:39:45 EDT","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","100000.00","Sell","","","","","","","","","",""
"31","2026-06-08 00:39:45 EDT","ORDER_FILL","MARKET_ORDER","GBP/USD","1.33419","100000.00","Sell","13.2475","","","","0.00000","0.0000","","0.00000","","100000.00"
"32","2026-06-08 00:39:45 EDT","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","100000.00","Sell","","","","","","","","","",""
"33","2026-06-08 00:39:45 EDT","ORDER_FILL","MARKET_ORDER","GBP/USD","1.33419","100000.00","Sell","13.2475","","","","0.00000","0.0000","","0.00000","","100000.00"
"34","2026-06-08 00:39:45 EDT","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","100000.00","Buy","","","","","","","","","",""
"35","2026-06-08 00:39:45 EDT","ORDER_FILL","MARKET_ORDER","GBP/USD","1.33438","100000.00","Buy","13.2475","","","","0.00000","0.0000","","0.00000","","100000.00"
"36","2026-06-08 00:39:45 EDT","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","100000.00","Buy","","","","","","","","","",""
"37","2026-06-08 00:39:45 EDT","ORDER_FILL","MARKET_ORDER","GBP/USD","1.33438","100000.00","Buy","13.2475","","","","0.00000","0.0000","","0.00000","","100000.00"
"38","2026-06-08 00:39:45 EDT","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","100000.00","Sell","","","","","","","","","",""
"39","2026-06-08 00:39:45 EDT","ORDER_FILL","MARKET_ORDER","GBP/USD","1.33419","100000.00","Sell","13.2475","","","","0.00000","0.0000","","0.00000","","100000.00"
"40","2026-06-08 00:39:45 EDT","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","100000.00","Sell","","","","","","","","","",""
"41","2026-06-08 00:39:45 EDT","ORDER_FILL","MARKET_ORDER","GBP/USD","1.33419","100000.00","Sell","13.2475","","","","0.00000","0.0000","","0.00000","","100000.00"
"42","2026-06-08 00:39:45 EDT","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","100000.00","Buy","","","","","","","","","",""
"43","2026-06-08 00:39:45 EDT","ORDER_FILL","MARKET_ORDER","GBP/USD","1.33438","100000.00","Buy","13.2475","","","","0.00000","0.0000","","0.00000","","100000.00"
"44","2026-06-08 00:39:46 EDT","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","100000.00","Sell","","","","","","","","","",""
"45","2026-06-08 00:39:46 EDT","ORDER_FILL","MARKET_ORDER","GBP/USD","1.33419","100000.00","Sell","13.2475","","","","0.00000","0.0000","","0.00000","","100000.00"
"46","2026-06-08 00:39:46 EDT","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","100000.00","Buy","","","","","","","","","",""
"47","2026-06-08 00:39:46 EDT","ORDER_FILL","MARKET_ORDER","GBP/USD","1.33438","100000.00","Buy","13.9447","","","","0.00000","0.0000","","0.00000","","100000.00"
"48","2026-06-08 00:39:46 EDT","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","100000.00","Sell","","","","","","","","","",""
"49","2026-06-08 00:39:46 EDT","ORDER_FILL","MARKET_ORDER","GBP/USD","1.33418","100000.00","Sell","13.9447","","","","0.00000","0.0000","","0.00000","","100000.00"
"50","2026-06-08 00:39:46 EDT","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","100000.00","Buy","","","","","","","","","",""
"51","2026-06-08 00:39:46 EDT","ORDER_FILL","MARKET_ORDER","GBP/USD","1.33438","100000.00","Buy","13.9447","","","","0.00000","0.0000","","0.00000","","100000.00"
"52","2026-06-08 00:39:46 EDT","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","100000.00","Sell","","","","","","","","","",""
"53","2026-06-08 00:39:46 EDT","ORDER_CANCEL","INSUFFICIENT_MARGIN","","","","","","","","","","","","","",""
"54","2026-06-08 00:39:46 EDT","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","100000.00","Buy","","","","","","","","","",""
